struktura,operacja,iteracje,instancja,mikrosekundy
array,create,1000,10,133
array,create,10000,10,1409
array,create,100000,10,15466
array,create,1000000,10,156449
array,create,10000000,10,1433167
array,add,1000,50000,750
array,add,10000,50000,713
array,add,100000,50000,615
array,add,1000000,50000,2325
array,add,10000000,50000,593
array,insert,1000,20,13
array,insert,10000,20,181
array,insert,100000,20,2233
array,insert,1000000,20,24225
array,insert,10000000,20,229729
array,search,1000,200,50
array,search,10000,200,422
array,search,100000,200,1085
array,search,1000000,200,1014
array,search,10000000,200,933
array,remove,1000,20,0
array,remove,10000,20,5
array,remove,100000,20,46
array,remove,1000000,20,441
array,remove,10000000,20,5637
list,create,1000,10,321
list,create,10000,10,3159
list,create,100000,10,31152
list,create,1000000,10,300033
list,create,10000000,10,2795471
list,add,1000,50000,838
list,add,10000,50000,991
list,add,100000,50000,1268
list,add,1000000,50000,828
list,add,10000000,50000,829
list,insert,1000,20,13
list,insert,10000,20,125
list,insert,100000,20,936
list,insert,1000000,20,20464
list,insert,10000000,20,262754
list,search,1000,200,481
list,search,10000,200,4383
list,search,100000,200,16319
list,search,1000000,200,14784
list,search,10000000,200,13433
list,remove,1000,20,16
list,remove,10000,20,104
list,remove,100000,20,1025
list,remove,1000000,20,14833
list,remove,10000000,20,312849
stack,create,1000,10,555101
stack,create,10000,10,1146
stack,create,100000,10,11416
stack,create,1000000,10,114732
stack,create,10000000,10,1146185
stack,add,1000,50000,602
stack,add,10000,50000,567
stack,add,100000,50000,573
stack,add,1000000,50000,564
stack,add,10000000,50000,574
stack,insert,1000,20,36
stack,insert,10000,20,387
stack,insert,100000,20,2593
stack,insert,1000000,20,26593
stack,insert,10000000,20,340857
stack,search,1000,200,548
stack,search,10000,200,4855
stack,search,100000,200,11758
stack,search,1000000,200,10011
stack,search,10000000,200,10124
stack,remove,1000,20,36
stack,remove,10000,20,312
stack,remove,100000,20,2783
stack,remove,1000000,20,23025
stack,remove,10000000,20,471286
queue,create,1000,10,115
queue,create,10000,10,1138
queue,create,100000,10,11371
queue,create,1000000,10,113755
queue,create,10000000,10,1129863
queue,add,1000,50000,560
queue,add,10000,50000,657
queue,add,100000,50000,591
queue,add,1000000,50000,559
queue,add,10000000,50000,561
queue,insert,1000,20,27
queue,insert,10000,20,383
queue,insert,100000,20,2754
queue,insert,1000000,20,28428
queue,insert,10000000,20,356166
queue,search,1000,200,258
queue,search,10000,200,3154
queue,search,100000,200,28730
queue,search,1000000,200,426760
queue,search,10000000,200,4412781
queue,remove,1000,20,26
queue,remove,10000,20,272
queue,remove,100000,20,2750
queue,remove,1000000,20,29907
queue,remove,10000000,20,371446
